case_id,operating_point_id,strategy,T_sw_prior_width_K,effective_T_sw_delta_K,protocol,response_surface_protocol,observation_count,noise,seed,predicted_relative_error,predicted_success,predicted_abstention,fresh_solver_anchor,solver_relative_error,solver_estimated_gamma_sub,discrete_profile_width_fraction,anchor_absolute_discrepancy,anchor_classification_agreement,solver_forward_evaluations,source_kind,cache_hit
cal_002_ltp_n16__noise_000,cal_002_ltp_n16,calibration_only,0.02,0.04,ltp_ltd,ltp_ltd,16,0.0,20260715,0.051362683438155136,True,False,False,,,,,,0,historical_response_surface,False
cal_002_ltp_n16__noise_010,cal_002_ltp_n16,calibration_only,0.02,0.04,ltp_ltd,ltp_ltd,16,0.01,20260716,0.05238993710691824,True,False,False,,,,,,0,historical_response_surface,False
cal_002_ltp_n16__noise_020,cal_002_ltp_n16,calibration_only,0.02,0.04,ltp_ltd,ltp_ltd,16,0.02,20260717,0.05341719077568134,True,False,False,,,,,,0,historical_response_surface,False
cal_002_ltp_n16__noise_050,cal_002_ltp_n16,calibration_only,0.02,0.04,ltp_ltd,ltp_ltd,16,0.05,20260718,0.056498951781970654,True,False,False,,,,,,0,historical_response_surface,False
cal_005_ltp_n16__noise_000,cal_005_ltp_n16,calibration_only,0.05,0.1,ltp_ltd,ltp_ltd,16,0.0,20260715,0.10272536687631027,True,False,False,,,,,,0,historical_response_surface,False
cal_005_ltp_n16__noise_010,cal_005_ltp_n16,calibration_only,0.05,0.1,ltp_ltd,ltp_ltd,16,0.01,20260716,0.10477987421383649,True,False,False,,,,,,0,historical_response_surface,False
cal_005_ltp_n16__noise_020,cal_005_ltp_n16,calibration_only,0.05,0.1,ltp_ltd,ltp_ltd,16,0.02,20260717,0.10683438155136268,True,False,True,0.1111111111111111,500000000.0,0.0,0.004276729559748421,True,6,historical_response_surface_with_fresh_solver_anchor,False
cal_005_ltp_n16__noise_050,cal_005_ltp_n16,calibration_only,0.05,0.1,ltp_ltd,ltp_ltd,16,0.05,20260718,0.11299790356394131,True,False,False,,,,,,0,historical_response_surface,False
cal_010_ltp_n16__noise_000,cal_010_ltp_n16,calibration_only,0.1,0.2,ltp_ltd,ltp_ltd,16,0.0,20260715,0.20545073375262055,False,True,True,0.1111111111111111,500000000.0,0.1111111111111111,0.09433962264150944,True,6,historical_response_surface_with_fresh_solver_anchor,False
cal_010_ltp_n16__noise_010,cal_010_ltp_n16,calibration_only,0.1,0.2,ltp_ltd,ltp_ltd,16,0.01,20260716,0.20955974842767297,False,True,False,,,,,,0,historical_response_surface,False
cal_010_ltp_n16__noise_020,cal_010_ltp_n16,calibration_only,0.1,0.2,ltp_ltd,ltp_ltd,16,0.02,20260717,0.21366876310272537,False,True,False,,,,,,0,historical_response_surface,False
cal_010_ltp_n16__noise_050,cal_010_ltp_n16,calibration_only,0.1,0.2,ltp_ltd,ltp_ltd,16,0.05,20260718,0.22599580712788261,False,True,False,,,,,,0,historical_response_surface,False
joint_002_multi_n64__noise_000,joint_002_multi_n64,joint_calibration_protocol_design,0.02,0.04,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,64,0.0,20260715,0.03542976939203355,True,False,False,,,,,,0,historical_response_surface,False
joint_002_multi_n64__noise_010,joint_002_multi_n64,joint_calibration_protocol_design,0.02,0.04,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,64,0.01,20260716,0.03613836477987422,True,False,False,,,,,,0,historical_response_surface,False
joint_002_multi_n64__noise_020,joint_002_multi_n64,joint_calibration_protocol_design,0.02,0.04,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,64,0.02,20260717,0.036846960167714896,True,False,True,0.1111111111111111,500000000.0,0.0,0.07426415094339621,False,6,historical_response_surface_with_fresh_solver_anchor,False
joint_002_multi_n64__noise_050,joint_002_multi_n64,joint_calibration_protocol_design,0.02,0.04,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,64,0.05,20260718,0.03897274633123691,True,False,False,,,,,,0,historical_response_surface,False
joint_005_multi_n32__noise_000,joint_005_multi_n32,joint_calibration_protocol_design,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.0,20260715,0.07708501597840771,True,False,True,0.1111111111111111,500000000.0,0.0,0.034026095132703396,False,6,historical_response_surface_with_fresh_solver_anchor,False
joint_005_multi_n32__noise_010,joint_005_multi_n32,joint_calibration_protocol_design,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.01,20260716,0.07862671629797587,True,False,False,,,,,,0,historical_response_surface,False
joint_005_multi_n32__noise_020,joint_005_multi_n32,joint_calibration_protocol_design,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.02,20260717,0.08016841661754402,True,False,False,,,,,,0,historical_response_surface,False
joint_005_multi_n32__noise_050,joint_005_multi_n32,joint_calibration_protocol_design,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.05,20260718,0.08479351757624849,True,False,False,,,,,,0,historical_response_surface,False
joint_010_multi_n32__noise_000,joint_010_multi_n32,joint_calibration_protocol_design,0.1,0.2,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.0,20260715,0.15417003195681542,False,True,False,,,,,,0,historical_response_surface,False
joint_010_multi_n32__noise_010,joint_010_multi_n32,joint_calibration_protocol_design,0.1,0.2,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.01,20260716,0.15725343259595173,False,True,False,,,,,,0,historical_response_surface,False
joint_010_multi_n32__noise_020,joint_010_multi_n32,joint_calibration_protocol_design,0.1,0.2,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.02,20260717,0.16033683323508804,False,True,False,,,,,,0,historical_response_surface,False
joint_010_multi_n32__noise_050,joint_010_multi_n32,joint_calibration_protocol_design,0.1,0.2,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,32,0.05,20260718,0.16958703515249698,False,True,False,,,,,,0,historical_response_surface,False
proto_100_ltp_n16__noise_000,proto_100_ltp_n16,protocol_only,1.0,2.0,ltp_ltd,ltp_ltd,16,0.0,20260715,1.129979035639413,False,True,True,0.0,450000000.0,0.2222222222222222,1.129979035639413,False,6,historical_response_surface_with_fresh_solver_anchor,False
proto_100_ltp_n16__noise_010,proto_100_ltp_n16,protocol_only,1.0,2.0,ltp_ltd,ltp_ltd,16,0.01,20260716,1.1525786163522014,False,True,False,,,,,,0,historical_response_surface,False
proto_100_ltp_n16__noise_020,proto_100_ltp_n16,protocol_only,1.0,2.0,ltp_ltd,ltp_ltd,16,0.02,20260717,1.1751781970649897,False,True,False,,,,,,0,historical_response_surface,False
proto_100_ltp_n16__noise_050,proto_100_ltp_n16,protocol_only,1.0,2.0,ltp_ltd,ltp_ltd,16,0.05,20260718,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_multi_n16__noise_000,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.0,20260715,1.1991614255765202,False,True,False,,,,,,0,historical_response_surface,False
proto_100_multi_n16__noise_010,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.01,20260716,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_multi_n16__noise_020,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.02,20260717,1.2222222222222223,False,True,True,0.16666666666666666,375000000.0,0.0,1.0555555555555556,True,6,historical_response_surface_with_fresh_solver_anchor,False
proto_100_multi_n16__noise_050,proto_100_multi_n16,protocol_only,1.0,2.0,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.05,20260718,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_000,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.0,20260715,1.1991614255765202,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_010,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.01,20260716,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_020,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.02,20260717,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
proto_100_short_n16__noise_050,proto_100_short_n16,protocol_only,1.0,2.0,short_pulse_to_ltp_ltd,mixed_protocol,16,0.05,20260718,1.2222222222222223,False,True,False,,,,,,0,historical_response_surface,False
seq_005_multi_n16__noise_000,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.0,20260715,0.10901467505241091,True,False,False,,,,,,0,historical_response_surface,False
seq_005_multi_n16__noise_010,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.01,20260716,0.11119496855345913,True,False,False,,,,,,0,historical_response_surface,False
seq_005_multi_n16__noise_020,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.02,20260717,0.11337526205450736,True,False,True,0.1111111111111111,500000000.0,0.0,0.0022641509433962564,True,6,historical_response_surface_with_fresh_solver_anchor,False
seq_005_multi_n16__noise_050,seq_005_multi_n16,sequential_calibration_then_protocol,0.05,0.1,multi_pulse_to_ltp_ltd,multi_amplitude_synthetic,16,0.05,20260718,0.11991614255765201,True,False,False,,,,,,0,historical_response_surface,False
seq_005_short_n16__noise_000,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.0,20260715,0.10901467505241091,True,False,True,0.1111111111111111,500000000.0,0.0,0.0020964360587001907,True,6,historical_response_surface_with_fresh_solver_anchor,False
seq_005_short_n16__noise_010,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.01,20260716,0.11119496855345913,True,False,False,,,,,,0,historical_response_surface,False
seq_005_short_n16__noise_020,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.02,20260717,0.11337526205450736,True,False,False,,,,,,0,historical_response_surface,False
seq_005_short_n16__noise_050,seq_005_short_n16,sequential_calibration_then_protocol,0.05,0.1,short_pulse_to_ltp_ltd,mixed_protocol,16,0.05,20260718,0.11991614255765201,True,False,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_000,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.0,20260715,0.21802935010482183,False,True,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_010,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.01,20260716,0.22238993710691826,False,True,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_020,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.02,20260717,0.22675052410901472,False,True,False,,,,,,0,historical_response_surface,False
seq_010_short_n16__noise_050,seq_010_short_n16,sequential_calibration_then_protocol,0.1,0.2,short_pulse_to_ltp_ltd,mixed_protocol,16,0.05,20260718,0.23983228511530402,False,True,False,,,,,,0,historical_response_surface,False
