category,left,right,x_index,x_m,lag_steps,correlation
terminal_to_field,V,mean_delta_T,,,,-0.04585617707997714
terminal_to_field,V,max_delta_T,,,,-0.04585616576249772
terminal_to_field,V,mean_delta_c_v,,,,0.01601145852302686
terminal_to_field,V,max_abs_delta_c_v,,,,0.022367692473100862
terminal_to_field,V,mean_m,,,,-0.19552996578413145
terminal_to_field,V,mean_sigma,,,,-0.2678723597039921
terminal_to_field,I,mean_delta_T,,,,-0.2531362615431085
terminal_to_field,I,max_delta_T,,,,-0.25313633198480945
terminal_to_field,I,mean_delta_c_v,,,,0.2549359716554792
terminal_to_field,I,max_abs_delta_c_v,,,,-0.22007093811931358
terminal_to_field,I,mean_m,,,,-0.39261499135006156
terminal_to_field,I,mean_sigma,,,,-0.469403953689254
terminal_to_field,G,mean_delta_T,,,,0.9549574996859841
terminal_to_field,G,max_delta_T,,,,0.9549574289516599
terminal_to_field,G,mean_delta_c_v,,,,-0.9581640749145087
terminal_to_field,G,max_abs_delta_c_v,,,,0.9473551593678594
terminal_to_field,G,mean_m,,,,0.9953127170309772
terminal_to_field,G,mean_sigma,,,,0.9999966158284996
hidden_to_hidden,delta_T,sigma,,,,0.6988542299422462
hidden_to_hidden,c_v,sigma,,,,0.3216744579750865
hidden_to_hidden,delta_c_v,sigma,,,,-0.49255846850127327
hidden_to_hidden,m,sigma,,,,0.8241268575488281
hidden_to_hidden,delta_T,m,,,,0.8541353336498209
hidden_to_hidden,c_v,m,,,,0.44175184060613176
spatial_sensitivity_to_G,G,delta_T,0,1.6129032258064515e-09,,0.9549574289516599
spatial_sensitivity_to_G,G,delta_T,1,4.8387096774193544e-09,,0.9549574305957416
spatial_sensitivity_to_G,G,delta_T,2,8.064516129032257e-09,,0.9549574338878488
spatial_sensitivity_to_G,G,delta_T,3,1.129032258064516e-08,,0.954957438824117
spatial_sensitivity_to_G,G,delta_T,4,1.4516129032258064e-08,,0.9549574453517219
spatial_sensitivity_to_G,G,delta_T,5,1.7741935483870966e-08,,0.9549574533350519
spatial_sensitivity_to_G,G,delta_T,6,2.096774193548387e-08,,0.9549574625666803
spatial_sensitivity_to_G,G,delta_T,7,2.4193548387096773e-08,,0.9549574702192121
spatial_sensitivity_to_G,G,delta_T,8,2.7419354838709676e-08,,0.9549574760328003
spatial_sensitivity_to_G,G,delta_T,9,3.064516129032258e-08,,0.9549574815791213
spatial_sensitivity_to_G,G,delta_T,10,3.387096774193548e-08,,0.9549574868829935
spatial_sensitivity_to_G,G,delta_T,11,3.7096774193548384e-08,,0.9549574919677626
spatial_sensitivity_to_G,G,delta_T,12,4.032258064516129e-08,,0.9549574968412384
spatial_sensitivity_to_G,G,delta_T,13,4.354838709677419e-08,,0.9549575014955388
spatial_sensitivity_to_G,G,delta_T,14,4.6774193548387094e-08,,0.9549575059163806
spatial_sensitivity_to_G,G,delta_T,15,5e-08,,0.9549575100911055
spatial_sensitivity_to_G,G,delta_T,16,5.32258064516129e-08,,0.9549575140115107
spatial_sensitivity_to_G,G,delta_T,17,5.6451612903225805e-08,,0.9549575176732721
spatial_sensitivity_to_G,G,delta_T,18,5.967741935483871e-08,,0.9549575210744526
spatial_sensitivity_to_G,G,delta_T,19,6.290322580645161e-08,,0.9549575242142969
spatial_sensitivity_to_G,G,delta_T,20,6.612903225806452e-08,,0.9549575270925488
spatial_sensitivity_to_G,G,delta_T,21,6.935483870967742e-08,,0.9549575297091317
spatial_sensitivity_to_G,G,delta_T,22,7.258064516129032e-08,,0.9549575320640233
spatial_sensitivity_to_G,G,delta_T,23,7.580645161290323e-08,,0.9549575341572216
spatial_sensitivity_to_G,G,delta_T,24,7.903225806451613e-08,,0.9549575359887241
spatial_sensitivity_to_G,G,delta_T,25,8.225806451612903e-08,,0.9549575375585311
spatial_sensitivity_to_G,G,delta_T,26,8.548387096774194e-08,,0.9549575388666419
spatial_sensitivity_to_G,G,delta_T,27,8.870967741935484e-08,,0.9549575399130572
spatial_sensitivity_to_G,G,delta_T,28,9.193548387096774e-08,,0.9549575406977776
spatial_sensitivity_to_G,G,delta_T,29,9.516129032258065e-08,,0.9549575412208012
spatial_sensitivity_to_G,G,delta_T,30,9.838709677419355e-08,,0.9549575414821615
spatial_sensitivity_to_G,G,delta_c_v,0,1.6129032258064515e-09,,0.9565957080879663
spatial_sensitivity_to_G,G,delta_c_v,1,4.8387096774193544e-09,,0.9613825739139845
spatial_sensitivity_to_G,G,delta_c_v,2,8.064516129032257e-09,,0.9556175800990572
spatial_sensitivity_to_G,G,delta_c_v,3,1.129032258064516e-08,,0.9478981872206603
spatial_sensitivity_to_G,G,delta_c_v,4,1.4516129032258064e-08,,0.34267266557345805
spatial_sensitivity_to_G,G,delta_c_v,5,1.7741935483870966e-08,,-0.960903458203272
spatial_sensitivity_to_G,G,delta_c_v,6,2.096774193548387e-08,,-0.9473551593678594
spatial_sensitivity_to_G,G,delta_c_v,7,2.4193548387096773e-08,,-0.9597130828910122
spatial_sensitivity_to_G,G,delta_c_v,8,2.7419354838709676e-08,,-0.9611614392734162
spatial_sensitivity_to_G,G,delta_c_v,9,3.064516129032258e-08,,-0.9593209211323731
spatial_sensitivity_to_G,G,delta_c_v,10,3.387096774193548e-08,,-0.9605029014779441
spatial_sensitivity_to_G,G,delta_c_v,11,3.7096774193548384e-08,,0.9457187690531758
spatial_sensitivity_to_G,G,delta_c_v,12,4.032258064516129e-08,,0.9578626667150483
spatial_sensitivity_to_G,G,delta_c_v,13,4.354838709677419e-08,,0.9595942308942441
spatial_sensitivity_to_G,G,delta_c_v,14,4.6774193548387094e-08,,0.9610271172993466
spatial_sensitivity_to_G,G,delta_c_v,15,5e-08,,0.962518172417789
spatial_sensitivity_to_G,G,delta_c_v,16,5.32258064516129e-08,,0.9641436261036243
spatial_sensitivity_to_G,G,delta_c_v,17,5.6451612903225805e-08,,0.9659239644901845
spatial_sensitivity_to_G,G,delta_c_v,18,5.967741935483871e-08,,0.9678583670059644
spatial_sensitivity_to_G,G,delta_c_v,19,6.290322580645161e-08,,0.9699320509811289
spatial_sensitivity_to_G,G,delta_c_v,20,6.612903225806452e-08,,0.972116933877764
spatial_sensitivity_to_G,G,delta_c_v,21,6.935483870967742e-08,,0.9743699440359215
spatial_sensitivity_to_G,G,delta_c_v,22,7.258064516129032e-08,,0.9766302667616531
spatial_sensitivity_to_G,G,delta_c_v,23,7.580645161290323e-08,,0.9788159269309816
spatial_sensitivity_to_G,G,delta_c_v,24,7.903225806451613e-08,,0.9808101901374721
spatial_sensitivity_to_G,G,delta_c_v,25,8.225806451612903e-08,,0.9807384526256918
spatial_sensitivity_to_G,G,delta_c_v,26,8.548387096774194e-08,,-0.9448844242328381
spatial_sensitivity_to_G,G,delta_c_v,27,8.870967741935484e-08,,-0.9888456857766619
spatial_sensitivity_to_G,G,delta_c_v,28,9.193548387096774e-08,,-0.7805142160067562
spatial_sensitivity_to_G,G,delta_c_v,29,9.516129032258065e-08,,0.6749111822928823
spatial_sensitivity_to_G,G,delta_c_v,30,9.838709677419355e-08,,0.7640237884978948
spatial_sensitivity_to_G,G,m,0,1.6129032258064515e-09,,0.9958147029486689
spatial_sensitivity_to_G,G,m,1,4.8387096774193544e-09,,0.9957489443385394
spatial_sensitivity_to_G,G,m,2,8.064516129032257e-09,,0.9956097640460758
spatial_sensitivity_to_G,G,m,3,1.129032258064516e-08,,0.9953509033262067
spatial_sensitivity_to_G,G,m,4,1.4516129032258064e-08,,0.9949454807028859
spatial_sensitivity_to_G,G,m,5,1.7741935483870966e-08,,0.9944413010767573
spatial_sensitivity_to_G,G,m,6,2.096774193548387e-08,,0.9940563073751897
spatial_sensitivity_to_G,G,m,7,2.4193548387096773e-08,,0.9937825748342686
spatial_sensitivity_to_G,G,m,8,2.7419354838709676e-08,,0.9939254894438143
spatial_sensitivity_to_G,G,m,9,3.064516129032258e-08,,0.9942872286627573
spatial_sensitivity_to_G,G,m,10,3.387096774193548e-08,,0.9947402370838131
spatial_sensitivity_to_G,G,m,11,3.7096774193548384e-08,,0.9951509419991583
spatial_sensitivity_to_G,G,m,12,4.032258064516129e-08,,0.9954439577389018
spatial_sensitivity_to_G,G,m,13,4.354838709677419e-08,,0.9956156529188177
spatial_sensitivity_to_G,G,m,14,4.6774193548387094e-08,,0.9956989472253058
spatial_sensitivity_to_G,G,m,15,5e-08,,0.9957316455169878
spatial_sensitivity_to_G,G,m,16,5.32258064516129e-08,,0.9957412623643264
spatial_sensitivity_to_G,G,m,17,5.6451612903225805e-08,,0.9957427806024255
spatial_sensitivity_to_G,G,m,18,5.967741935483871e-08,,0.9957424078854693
spatial_sensitivity_to_G,G,m,19,6.290322580645161e-08,,0.9957419809339899
spatial_sensitivity_to_G,G,m,20,6.612903225806452e-08,,0.9957417699190779
spatial_sensitivity_to_G,G,m,21,6.935483870967742e-08,,0.9957416938963519
spatial_sensitivity_to_G,G,m,22,7.258064516129032e-08,,0.9957416719574339
spatial_sensitivity_to_G,G,m,23,7.580645161290323e-08,,0.9957416668614594
spatial_sensitivity_to_G,G,m,24,7.903225806451613e-08,,0.995741666070318
spatial_sensitivity_to_G,G,m,25,8.225806451612903e-08,,0.995741666174358
spatial_sensitivity_to_G,G,m,26,8.548387096774194e-08,,0.9957416662848253
spatial_sensitivity_to_G,G,m,27,8.870967741935484e-08,,0.9957416650597913
spatial_sensitivity_to_G,G,m,28,9.193548387096774e-08,,0.9957416745621035
spatial_sensitivity_to_G,G,m,29,9.516129032258065e-08,,0.9957422763061824
spatial_sensitivity_to_G,G,m,30,9.838709677419355e-08,,0.9957425158593838
spatial_sensitivity_to_G,G,sigma,0,1.6129032258064515e-09,,0.9998430594071605
spatial_sensitivity_to_G,G,sigma,1,4.8387096774193544e-09,,0.9998183585707878
spatial_sensitivity_to_G,G,sigma,2,8.064516129032257e-09,,0.9997506707906546
spatial_sensitivity_to_G,G,sigma,3,1.129032258064516e-08,,0.9996485259723976
spatial_sensitivity_to_G,G,sigma,4,1.4516129032258064e-08,,0.9995292791019849
spatial_sensitivity_to_G,G,sigma,5,1.7741935483870966e-08,,0.9994237726690922
spatial_sensitivity_to_G,G,sigma,6,2.096774193548387e-08,,0.9993352596865317
spatial_sensitivity_to_G,G,sigma,7,2.4193548387096773e-08,,0.9999187999186955
spatial_sensitivity_to_G,G,sigma,8,2.7419354838709676e-08,,0.9999069153094529
spatial_sensitivity_to_G,G,sigma,9,3.064516129032258e-08,,0.9999375119856713
spatial_sensitivity_to_G,G,sigma,10,3.387096774193548e-08,,0.9999766866230029
spatial_sensitivity_to_G,G,sigma,11,3.7096774193548384e-08,,0.9999980973748842
spatial_sensitivity_to_G,G,sigma,12,4.032258064516129e-08,,0.9999956146850659
spatial_sensitivity_to_G,G,sigma,13,4.354838709677419e-08,,0.9999795113179358
spatial_sensitivity_to_G,G,sigma,14,4.6774193548387094e-08,,0.9999622707609778
spatial_sensitivity_to_G,G,sigma,15,5e-08,,0.9999500499808907
spatial_sensitivity_to_G,G,sigma,16,5.32258064516129e-08,,0.9999432771322287
spatial_sensitivity_to_G,G,sigma,17,5.6451612903225805e-08,,0.9999401528625173
spatial_sensitivity_to_G,G,sigma,18,5.967741935483871e-08,,0.9999389158464272
spatial_sensitivity_to_G,G,sigma,19,6.290322580645161e-08,,0.9999384885656745
spatial_sensitivity_to_G,G,sigma,20,6.612903225806452e-08,,0.9999383587318692
spatial_sensitivity_to_G,G,sigma,21,6.935483870967742e-08,,0.9999383239102277
spatial_sensitivity_to_G,G,sigma,22,7.258064516129032e-08,,0.9999383156876059
spatial_sensitivity_to_G,G,sigma,23,7.580645161290323e-08,,0.9999383140158113
spatial_sensitivity_to_G,G,sigma,24,7.903225806451613e-08,,0.9999383137620358
spatial_sensitivity_to_G,G,sigma,25,8.225806451612903e-08,,0.9999383137717579
spatial_sensitivity_to_G,G,sigma,26,8.548387096774194e-08,,0.9999383137966856
spatial_sensitivity_to_G,G,sigma,27,8.870967741935484e-08,,0.999938313563245
spatial_sensitivity_to_G,G,sigma,28,9.193548387096774e-08,,0.9999383144432826
spatial_sensitivity_to_G,G,sigma,29,9.516129032258065e-08,,0.9999384112650681
spatial_sensitivity_to_G,G,sigma,30,9.838709677419355e-08,,0.999938491046008
lag_correlation_to_G,G,mean_delta_T,,,-40,0.870394553054846
lag_correlation_to_G,G,mean_delta_T,,,-39,0.8726193701289857
lag_correlation_to_G,G,mean_delta_T,,,-38,0.8748627294697126
lag_correlation_to_G,G,mean_delta_T,,,-37,0.8771236232677602
lag_correlation_to_G,G,mean_delta_T,,,-36,0.8794009897482101
lag_correlation_to_G,G,mean_delta_T,,,-35,0.881693707547463
lag_correlation_to_G,G,mean_delta_T,,,-34,0.8840005947986499
lag_correlation_to_G,G,mean_delta_T,,,-33,0.8863203957438858
lag_correlation_to_G,G,mean_delta_T,,,-32,0.8886517863524809
lag_correlation_to_G,G,mean_delta_T,,,-31,0.8909933714185534
lag_correlation_to_G,G,mean_delta_T,,,-30,0.8933436765349099
lag_correlation_to_G,G,mean_delta_T,,,-29,0.8957011399333956
lag_correlation_to_G,G,mean_delta_T,,,-28,0.8980641089583872
lag_correlation_to_G,G,mean_delta_T,,,-27,0.9004308253800721
lag_correlation_to_G,G,mean_delta_T,,,-26,0.9027994255217565
lag_correlation_to_G,G,mean_delta_T,,,-25,0.9051679396487545
lag_correlation_to_G,G,mean_delta_T,,,-24,0.9075342800636144
lag_correlation_to_G,G,mean_delta_T,,,-23,0.909896229025571
lag_correlation_to_G,G,mean_delta_T,,,-22,0.9122514280602525
lag_correlation_to_G,G,mean_delta_T,,,-21,0.9145973680801641
lag_correlation_to_G,G,mean_delta_T,,,-20,0.9169313816519219
lag_correlation_to_G,G,mean_delta_T,,,-19,0.9192506352828993
lag_correlation_to_G,G,mean_delta_T,,,-18,0.9215521124819318
lag_correlation_to_G,G,mean_delta_T,,,-17,0.9238326001604926
lag_correlation_to_G,G,mean_delta_T,,,-16,0.9260886686897771
lag_correlation_to_G,G,mean_delta_T,,,-15,0.9283166667179505
lag_correlation_to_G,G,mean_delta_T,,,-14,0.930512702284767
lag_correlation_to_G,G,mean_delta_T,,,-13,0.9326726203067683
lag_correlation_to_G,G,mean_delta_T,,,-12,0.9347919843822725
lag_correlation_to_G,G,mean_delta_T,,,-11,0.9368660510912244
lag_correlation_to_G,G,mean_delta_T,,,-10,0.9388897592620842
lag_correlation_to_G,G,mean_delta_T,,,-9,0.9408576997563207
lag_correlation_to_G,G,mean_delta_T,,,-8,0.942764087525263
lag_correlation_to_G,G,mean_delta_T,,,-7,0.9446027303638734
lag_correlation_to_G,G,mean_delta_T,,,-6,0.9463670069099619
lag_correlation_to_G,G,mean_delta_T,,,-5,0.9480498356234848
lag_correlation_to_G,G,mean_delta_T,,,-4,0.9496436365153222
lag_correlation_to_G,G,mean_delta_T,,,-3,0.9511402958730213
lag_correlation_to_G,G,mean_delta_T,,,-2,0.9525311295130441
lag_correlation_to_G,G,mean_delta_T,,,-1,0.9538068453080438
lag_correlation_to_G,G,mean_delta_T,,,0,0.9549574996859841
lag_correlation_to_G,G,mean_delta_T,,,1,0.9554661402941773
lag_correlation_to_G,G,mean_delta_T,,,2,0.9559440947769057
lag_correlation_to_G,G,mean_delta_T,,,3,0.9563935634628195
lag_correlation_to_G,G,mean_delta_T,,,4,0.956816622382664
lag_correlation_to_G,G,mean_delta_T,,,5,0.9572152293290914
lag_correlation_to_G,G,mean_delta_T,,,6,0.9575912165634904
lag_correlation_to_G,G,mean_delta_T,,,7,0.9579462925336132
lag_correlation_to_G,G,mean_delta_T,,,8,0.9582820433417457
lag_correlation_to_G,G,mean_delta_T,,,9,0.9585999407363076
lag_correlation_to_G,G,mean_delta_T,,,10,0.9589013414613811
lag_correlation_to_G,G,mean_delta_T,,,11,0.9591874786960212
lag_correlation_to_G,G,mean_delta_T,,,12,0.9594594695365873
lag_correlation_to_G,G,mean_delta_T,,,13,0.9597183193596327
lag_correlation_to_G,G,mean_delta_T,,,14,0.9599649307781558
lag_correlation_to_G,G,mean_delta_T,,,15,0.9602000922235339
lag_correlation_to_G,G,mean_delta_T,,,16,0.9604244863741382
lag_correlation_to_G,G,mean_delta_T,,,17,0.960638691664147
lag_correlation_to_G,G,mean_delta_T,,,18,0.9608431897699585
lag_correlation_to_G,G,mean_delta_T,,,19,0.9610383710655529
lag_correlation_to_G,G,mean_delta_T,,,20,0.9612245270774684
lag_correlation_to_G,G,mean_delta_T,,,21,0.9614018599076187
lag_correlation_to_G,G,mean_delta_T,,,22,0.9615704859197145
lag_correlation_to_G,G,mean_delta_T,,,23,0.9617304439644766
lag_correlation_to_G,G,mean_delta_T,,,24,0.9618816954735077
lag_correlation_to_G,G,mean_delta_T,,,25,0.9620241249191344
